fips,recent,prediction,max_pred,pm_max_pred
1101,falling,falling,41.87416466,12.555164
1103,stable,stable,43.30817036,13.28790079
1105,stable,stable,39.80505679,11.42660513
1107,stable,stable,39.9799526,11.59449919
1109,stable,stable,40.69054615,11.35227125
1111,stable,stable,42.18589792,12.43496945
1113,stable,stable,41.74280725,12.65500797
1115,stable,stable,42.42229109,13.63978954
1117,stable,stable,42.77604286,14.11151983
1119,stable,stable,39.44073602,11.2649159
1101,stable,stable,42.82971993,13.32150392
1103,stable,stable,42.12719926,12.25612843
1105,stable,stable,41.32612251,12.7448834
1107,stable,stable,42.43192085,13.40838062
1109,stable,stable,40.7412565,10.83012413
1111,stable,stable,39.82357002,11.16011789
1113,stable,stable,41.89715837,12.41642102
1115,stable,stable,42.94911036,12.40908329
1117,stable,stable,40.28061685,10.93011963
1119,stable,stable,43.79784,9.04240557
